date,category,amount,counterparty
04/01/2022,INCASSO FATTURA,5000.0,ALPHA COMPANY
13/01/2022,INCASSO FATTURA,4800.0,BETA SRL
15/01/2022,STIPENDI,-6000.0,MARIO ROSSI
15/01/2022,RIMBORSO FINANZIAMENTO,-1200.0,BANCA SELLA
22/01/2022,INCASSO FATTURA,5400.0,BETA SRL
30/01/2022,UTENZE,-800.0,ENEL
31/01/2022,INCASSO FATTURA,5466.67,ALPHA COMPANY
31/01/2022,PAGAMENTO FORNITORI,-4000.67,XY GROUP
09/02/2022,INCASSO FATTURA,5666.67,ALPHA COMPANY
09/02/2022,PAGAMENTO FORNITORI,-3800.67,XY GROUP
15/02/2022,STIPENDI,-6000.0,MARIO ROSSI
15/02/2022,RIMBORSO FINANZIAMENTO,-1200.0,BANCA SELLA
18/02/2022,INCASSO FATTURA,5866.67,ALPHA COMPANY
18/02/2022,PAGAMENTO FORNITORI,-4300.67,XY GROUP
27/02/2022,INCASSO FATTURA,6066.67,ALPHA COMPANY
27/02/2022,PAGAMENTO FORNITORI,-4334.0,XY GROUP
28/02/2022,UTENZE,-804.49,ENEL
08/03/2022,INCASSO FATTURA,6266.67,ALPHA COMPANY
08/03/2022,PAGAMENTO FORNITORI,-4484.0,XY GROUP
15/03/2022,STIPENDI,-6000.0,MARIO ROSSI
15/03/2022,RIMBORSO FINANZIAMENTO,-1200.0,BANCA SELLA
17/03/2022,INCASSO FATTURA,6466.67,ALPHA COMPANY
17/03/2022,PAGAMENTO FORNITORI,-4634.0,XY GROUP
26/03/2022,INCASSO FATTURA,6666.67,ALPHA COMPANY
26/03/2022,PAGAMENTO FORNITORI,-4784.0,XY GROUP
29/03/2022,UTENZE,-802.15,ENEL
04/04/2022,INCASSO FATTURA,6866.67,ALPHA COMPANY
04/04/2022,PAGAMENTO FORNITORI,-4934.0,XY GROUP
13/04/2022,INCASSO FATTURA,7066.67,ALPHA COMPANY
13/04/2022,PAGAMENTO FORNITORI,-5084.0,XY GROUP
